Book Row,Book Name,Book URL,Book Type,Book Price,Book UPC,Book Availability,Books Available,Book Reviews,Book Rating
1,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,travel,45.17,a22124811bfa8350,In stock,19,0,2
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,travel,49.43,ce60436f52c5ee68,In stock,15,0,4
3,See America: A Celebration of Our National Parks & Treasured Sites,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,travel,48.87,f9705c362f070608,In stock,14,0,3
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,travel,36.94,1809259a5a5f1d8d,In stock,8,0,2
5,Under the Tuscan Sun,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,travel,37.33,a94350ee74deaa07,In stock,7,0,3
6,A Summer In Europe,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,travel,44.34,cc1936a9f4e93477,In stock,7,0,2
7,The Great Railway Bazaar,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,travel,30.54,48736df57e7bec9f,In stock,6,0,1
8,A Year in Provence (Provence #1),https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,travel,56.88,9e60929f521fa280,In stock,6,0,4
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,travel,23.21,366a236aa1ea6f07,In stock,3,0,1
10,Neither Here nor There: Travels in Europe,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,travel,38.95,747cf7fca2ccdbd4,In stock,3,0,3
11,"1,000 Places to See Before You Die",https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,travel,26.08,228ba5e7577e1d49,In stock,1,0,5
12,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,mystery,47.82,e00eb4fd7b871a48,In stock,20,0,4
13,"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,mystery,19.63,19ed25f4641d5efd,In stock,18,0,1
14,The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,mystery,56.50,5ee94540d0749ea0,In stock,16,0,4
15,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,mystery,16.64,f733e8c19d40ec2e,In stock,16,0,1
16,The Murder of Roger Ackroyd (Hercule Poirot #4),https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,mystery,44.10,c7b5183f4d1d4efe,In stock,15,0,4
17,The Last Mile (Amos Decker #2),https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,mystery,54.21,3bc89353f7e3a3cc,In stock,14,0,2
18,That Darkness (Gardiner and Renner #1),https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,mystery,13.92,0c7b9cf2b7662b65,In stock,14,0,1
19,Tastes Like Fear (DI Marnie Rome #3),https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,mystery,10.69,2d1e337aaf341858,In stock,14,0,1
20,A Time of Torment (Charlie Parker #14),https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,mystery,48.35,4416c474713ec1f5,In stock,14,0,5
